seed	condition_id	family_id	k	diagnostic_kmer_count	total_exposure	valid_windows	mean_corrected_count	uncorrected_copy_number
6301	condition_002	f029	21	171	9992947	9992947	64.52046783625731	64.5660062404587
6301	condition_002	f029	27	171	9988615	9988615	63.432748538011694	63.505049036339564
6301	condition_002	f029	31	171	9985727	9985727	62.72514619883041	62.81480176539016
6301	condition_002	f030	15	171	9997279	9997279	121.06432748538012	121.09727805473882
6301	condition_002	f030	21	171	9992947	9992947	106.88304093567251	106.95847875073541
6301	condition_002	f030	27	171	9988615	9988615	94.3859649122807	94.49354581419016
6301	condition_002	f030	31	171	9985727	9985727	86.76023391812865	86.88424379930339
6301	condition_002	f031	15	171	9997279	9997279	85.82456140350877	85.8479206227102
6301	condition_002	f031	21	171	9992947	9992947	84.3859649122807	84.44552434059813
6301	condition_002	f031	27	171	9988615	9988615	83.04093567251462	83.1355855366481
6301	condition_002	f031	31	171	9985727	9985727	82.17543859649123	82.29289524587567
6301	condition_002	f032	15	171	9997279	9997279	0.017543859649122806	0.01754863463260634
6301	condition_002	f032	21	171	9992947	9992947	0.0	0.0
6301	condition_002	f032	27	171	9988615	9988615	0.0	0.0
6301	condition_002	f032	31	171	9985727	9985727	0.0	0.0
6301	condition_002	f033	15	171	9997279	9997279	125.046783625731	125.08081811634045
6301	condition_002	f033	21	171	9992947	9992947	122.85380116959064	122.94051111207798
6301	condition_002	f033	27	171	9988615	9988615	120.67836257309942	120.81591148832888
6301	condition_002	f033	31	171	9985727	9985727	119.23976608187135	119.41020026070345
6301	condition_002	f034	15	171	9997279	9997279	129.50292397660817	129.53817131302245
6301	condition_002	f034	21	171	9992947	9992947	113.3391812865497	113.4191758312635
6301	condition_002	f034	27	171	9988615	9988615	99.44444444444444	99.55779098948597
6301	condition_002	f034	31	171	9985727	9985727	91.12865497076024	91.25890881130661
6301	condition_002	f035	15	171	9997279	9997279	255.70760233918128	255.77719931511493
6301	condition_002	f035	21	171	9992947	9992947	251.08187134502924	251.25908437724053
6301	condition_002	f035	27	171	9988615	9988615	246.5438596491228	246.82486976334837
6301	condition_002	f035	31	171	9985727	9985727	243.54970760233917	243.8978229650572
