seed	coverage	substitution_rate	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	assembly_predicted_bp	period	estimated_haploid_depth	method	read_estimated_copies	read_estimated_bp	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome	fit_status	decision_threshold
5201	5	0.001	0.5	f2	0.5	True	6841.0	171	4.9975	multik_loglinear	67.41737378983174	11528.370918061228	0.5934056120004229	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	5	0.001	0.5	f3	0.5	True	42100.0	421	4.9975	single_k21	189.8954	79945.9634	0.526605699769452	possible_collapse	True	TP	single_k_baseline	0.6
5201	5	0.001	0.5	f3	0.5	True	42100.0	421	4.9975	multik_loglinear	194.3603085256303	81825.68988929036	0.514508341536271	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	5	0.001	0.25	f1	0.25	True	305.0	61	4.9975	single_k21	7.8039	476.0379	0.6407052883814504	consistent	False	FN	single_k_baseline	0.6
5201	5	0.001	0.25	f1	0.25	True	305.0	61	4.9975	multik_loglinear	8.017672375608877	489.0780149121415	0.623622388863238	consistent	False	FN	experimental_log_linear_extrapolation	0.6
5201	5	0.001	0.25	f2	0.25	True	3421.0	171	4.9975	single_k21	65.2328	11154.808799999999	0.3066838761055232	possible_collapse	True	TP	single_k_baseline	0.6
5201	5	0.001	0.25	f2	0.25	True	3421.0	171	4.9975	multik_loglinear	67.41737378983174	11528.370918061228	0.2967461772626	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	5	0.001	0.25	f3	0.25	True	21050.0	421	4.9975	single_k21	189.8954	79945.9634	0.263302849884726	possible_collapse	True	TP	single_k_baseline	0.6
5201	5	0.001	0.25	f3	0.25	True	21050.0	421	4.9975	multik_loglinear	194.3603085256303	81825.68988929036	0.2572541707681355	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	5	0.001	0	f1	0.0	True	0.0	61	4.9975	single_k21	7.8039	476.0379	0.0	reads_only	True	TP	single_k_baseline	0.6
5201	5	0.001	0	f1	0.0	True	0.0	61	4.9975	multik_loglinear	8.017672375608877	489.0780149121415	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5201	5	0.001	0	f2	0.0	True	0.0	171	4.9975	single_k21	65.2328	11154.808799999999	0.0	reads_only	True	TP	single_k_baseline	0.6
5201	5	0.001	0	f2	0.0	True	0.0	171	4.9975	multik_loglinear	67.41737378983174	11528.370918061228	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5201	5	0.001	0	f3	0.0	True	0.0	421	4.9975	single_k21	189.8954	79945.9634	0.0	reads_only	True	TP	single_k_baseline	0.6
5201	5	0.001	0	f3	0.0	True	0.0	421	4.9975	multik_loglinear	194.3603085256303	81825.68988929036	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5201	5	0.01	1	f1	1.0	False	1220.0	61	4.9975	single_k21	6.2031	378.3891	3.2241943544356855	possible_overexpansion	False	TN	single_k_baseline	0.6
