stage	elapsed_seconds	rss_mib	process_count	scratch_bytes
smoke	3886.276451	21.921875	1	2607880
smoke	3886.507381	21.921875	1	2607880
smoke	3886.737683	21.921875	1	2607880
smoke	3886.969150	21.921875	1	2607880
smoke	3887.195286	21.921875	1	2607880
smoke	3887.426646	21.921875	1	2607880
smoke	3887.655161	21.921875	1	2607880
smoke	3887.888651	21.921875	1	2607880
smoke	3888.119165	21.921875	1	2607880
smoke	3888.350202	21.921875	1	2607880
smoke	3888.579900	21.921875	1	2607880
smoke	3888.813192	21.921875	1	2607880
smoke	3889.044843	21.921875	1	2607880
smoke	3889.276658	21.921875	1	2607880
smoke	3889.507624	21.921875	1	2607880
smoke	3889.738500	21.921875	1	2607880
smoke	3889.969171	21.921875	1	2607880
smoke	3890.200045	21.921875	1	2607880
smoke	3890.430780	21.921875	1	2607880
smoke	3890.657147	21.921875	1	2607880
smoke	3890.887404	21.921875	1	2607880
smoke	3891.114552	21.921875	1	2607880
smoke	3891.345377	21.921875	1	2607880
smoke	3891.576637	21.921875	1	2607880
smoke	3891.804278	21.921875	1	2607880
smoke	3892.035469	21.921875	1	2607880
smoke	3892.266342	21.921875	1	2607880
smoke	3892.496006	21.921875	1	2607880
smoke	3892.726990	21.921875	1	2607880
smoke	3892.957925	21.921875	1	2607880
smoke	3893.185383	21.921875	1	2607880
smoke	3893.416615	21.921875	1	2607880
smoke	3893.647185	21.921875	1	2607880
smoke	3893.875959	21.921875	1	2607880
smoke	3894.104078	21.921875	1	2607880
smoke	3894.335106	21.921875	1	2607880
smoke	3894.562904	21.921875	1	2607880
smoke	3894.796068	21.921875	1	2607880
smoke	3895.028954	21.921875	1	2607880
smoke	3895.262718	21.921875	1	2607880
smoke	3895.496285	21.921875	1	2607880
smoke	3895.726569	21.921875	1	2607880
smoke	3895.953969	21.921875	1	2607880
smoke	3896.180977	21.921875	1	2607880
smoke	3896.410658	21.921875	1	2607880
smoke	3896.637150	21.921875	1	2607880
smoke	3896.870250	21.921875	1	2607880
smoke	3897.103407	21.921875	1	2607880
smoke	3897.333682	21.921875	1	2607880
smoke	3897.565368	21.921875	1	2607880
smoke	3897.798502	21.921875	1	2607880
smoke	3898.027292	21.921875	1	2607880
smoke	3898.259672	21.921875	1	2607880
smoke	3898.489701	21.921875	1	2607880
smoke	3898.742220	21.921875	1	2607880
smoke	3898.973593	21.921875	1	2607880
smoke	3899.206095	21.921875	1	2607880
smoke	3899.437507	21.921875	1	2607880
smoke	3899.670828	21.921875	1	2607880
smoke	3899.904412	21.921875	1	2607880
smoke	3900.135689	21.921875	1	2607880
